id,address_id,confidence,match_type
none-72-richardson-street-unit-19-brooklyn-ny-11211,246,1.0,exact
none-526-union-avenue-unit-206-brooklyn-ny-11211,3419,1.0,exact
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211,22585,1.0,exact
none-224-north-6th-street-unit-3-brooklyn-ny-11211,41,1.0,fuzzy
none-south-8th-street-unit-1a-brooklyn-ny-11211,94,1.0,fuzzy
none-woodpoint-road-unit-1-brooklyn-ny-11211-0,442,1.0,fuzzy
none-skillman-avenue-unit-1a-brooklyn-ny-11211-0,78,1.0,fuzzy
none-170-south-1st-street-unit-2b-brooklyn-ny-11211-0,1258,1.0,exact
none-237-devoe-street-unit-1r-brooklyn-ny-11211-0,1985,1.0,exact
none-156-devoe-street-unit-1f-brooklyn-ny-11211-0,409,1.0,exact
none-230-south-2nd-street-none-brooklyn-ny-11211,9922,1.0,exact
none-100-maspeth-avenue-unit-7c-brooklyn-ny-11211,6,1.0,exact
none-bushwick-avenue-unit-2b-brooklyn-ny-11211-0,128,1.0,fuzzy
none-south-5th-street-unit-c2-brooklyn-ny-11211,16,1.0,fuzzy
none-170-north-11th-street-unit-3a-brooklyn-ny-11211,2549,1.0,exact
none-171-north-1st-street-unit-1a-brooklyn-ny-11211,45,1.0,exact
none-171-north-1st-street-unit-6d-brooklyn-ny-11211,45,1.0,exact
none-jackson-street-unit-3b-brooklyn-ny-11211-0,22,1.0,fuzzy
none-224-north-6th-street-unit-3-brooklyn-ny-11211-0,41,1.0,fuzzy
none-240-powers-street-unit-6-brooklyn-ny-11211-0,593,1.0,exact
none-739-grand-street-none-brooklyn-ny-11211-0,9405,1.0,exact
none-maspeth-avenue-unit-7c-brooklyn-ny-11211,6,1.0,fuzzy
none-18-orient-avenue-none-brooklyn-ny-11211-0,100,1.0,fuzzy
none-532-lorimer-street-unit-1b-williamsburg-ny-11211-0,4391,1.0,exact
none-230-south-2nd-street-none-williamsburg-ny-11211-0,9922,1.0,exact
none-549-metropolitan-avenue-unit-a-brooklyn-ny-11211-0,22585,1.0,exact
none-manhattan-avenue-unit-4f-brooklyn-ny-11211-0,152,1.0,fuzzy
none-skillman-avenue-unit-3-brooklyn-ny-11211-0,78,1.0,fuzzy
none-jackson-street-unit-ph-brooklyn-ny-11211-0,22,1.0,fuzzy
none-230-south-2nd-street-none-brooklyn-ny-11211-0,9922,1.0,exact
none-north-8th-street-unit-ph-brooklyn-ny-11211-0,94,1.0,fuzzy
none-153-south-4th-street-unit-5-brooklyn-ny-11211,6796,1.0,exact
none-74-jackson-street-unit-3-brooklyn-ny-11211,22,1.0,fuzzy
none-devoe-street-unit-2r-brooklyn-ny-11211-0,64,1.0,fuzzy
none-lorimer-street-unit-1-brooklyn-ny-11211,170,1.0,fuzzy
none-skillman-avenue-unit-3b-brooklyn-ny-11211,78,1.0,fuzzy
none-229-withers-street-unit-2a-brooklyn-ny-11211,195,1.0,fuzzy
none-division-avenue-unit-16-brooklyn-ny-11211-0,1,1.0,fuzzy
none-havemeyer-street-unit-6a-brooklyn-ny-11211-0,24,1.0,fuzzy
none-329-grand-street-none-brooklyn-ny-11211-0,1282,1.0,exact
none-183-south-2nd-street-none-brooklyn-ny-11211-0,28,1.0,fuzzy
none-452-graham-avenue-none-brooklyn-ny-11211,10259,1.0,exact
none-north-11th-street-unit-4w-brooklyn-ny-11211-0,222,1.0,fuzzy
none-grand-street-none-brooklyn-ny-11211-0,10,1.0,fuzzy
none-74-jackson-street-unit-2-brooklyn-ny-11211,22,1.0,fuzzy
none-150-richardson-street-unit-2a-brooklyn-ny-11211,5304,1.0,exact
none-30-bushwick-avenue-unit-3b-brooklyn-ny-11211,128,1.0,fuzzy
none-179-jackson-street-unit-3a-brooklyn-ny-11211,17426,1.0,exact
